Date,Vendor,Plant Location,Category,Material Type,Defect Type,Defect,Total Defect Qty,Total Downtime Minutes
08/11/2018,Eamia,Cottonwood,Packaging,Corrugate,Impact,Wrong  Size,864616,1043
12/03/2019,Quaxo,Florence,Mechanicals,Raw Materials,No Impact,Matts,111486,3297
01/03/2019,Dabvine,Chatham,Packaging,Hardware,Impact,Missing Components,957201,3819
29/05/2018,Blogtag,Charlevoix,Logistics,Corrugate,Impact,Misaligned Slots,496067,535
27/10/2019,Photobug,Bruce Crossing,Mechanicals,Raw Materials,No Impact,Bad Parameters,907982,2039
17/09/2018,Oloo,Charlevoix,Materials & Components,Glass,No Impact,Bad Finish,796619,3976
03/06/2019,Leexo,Middletown,Logistics,Electrolytes,Rejected,Incorrect Material,819747,1528
14/05/2019,Ozu,Riverside,Mechanicals,Motors,Impact,Contamination,569480,2559
01/06/2018,Vipe,Chatham,Packaging,Electrolytes,Rejected,Bad Fit,180407,338
28/06/2019,Buzzdog,Chesaning,Materials & Components,Film,No Impact,Misc,436542,817
17/07/2018,Skiba,Ripton,Logistics,Controllers,Impact,Warped,457902,4491
08/07/2019,Eabox,Jordan Valley,Electrical,Carton,Rejected,Printing Defects,844600,3596
02/08/2019,Yakitri,Prescott,Mechanicals,Raw Materials,No Impact,Not Certified,874968,3281
31/08/2018,Blogpad,Garwood,Mechanicals,Raw Materials,Rejected,Component Failure,68575,3349
29/03/2018,Babblestorm,Prescott,Packaging,Labels,Impact,Wrong Registration,297775,531
29/06/2018,Janyx,Frazer,Logistics,Batteries,Impact,Warped,738174,1910
29/06/2018,Meejo,Frazer,Logistics,Corrugate,Rejected,Weak Walls,325602,1098
07/01/2019,Shufflebeat,Ripton,Logistics,Corrugate,No Impact,Misc,840623,2027
21/09/2019,Eimbee,Reading,Logistics,Corrugate,Impact,Poor Pairing,103518,2368
13/07/2019,Digitube,De Ruyter,Packaging,Corrugate,Impact,Gap Variation,133120,2422
27/11/2018,Browsezoom,De Ruyter,Logistics,Corrugate,Impact,Warping,1982,709
28/10/2018,Zooxo,Prescott,Mechanicals,Controllers,Impact,Poor  Adhesion,525312,2576
19/05/2018,Devpoint,Ripton,Packaging,Carton,Rejected,Printing Defects,721897,2895
27/09/2019,Jabbertype,Hingham,Logistics,Batteries,Impact,Misc,632929,3162
07/02/2018,Skimia,New Britain,Logistics,Corrugate,No Impact,Incorrect Vertical Size,215682,887
22/06/2018,Tekfly,Frazer,Materials & Components,Labels,No Impact,Wrong Label,557512,2563
15/03/2019,Twinder,Middletown,Materials & Components,Raw Materials,No Impact,Material Handling/ Shipping Requirements Error,74316,4457
19/03/2019,Eidel,Prescott,Mechanicals,Controllers,No Impact,Warped,690442,1480
14/10/2018,Zooveo,June Lake,Mechanicals,Controllers,No Impact,Wrong Tails,380725,4042
24/10/2018,Topicstorm,Cottonwood,Materials & Components,Glass,Rejected,Scratched Glass,924325,1832
14/02/2019,Linklinks,Chatham,Mechanicals,Labels,Rejected,No Adhesive,390493,2707
04/03/2019,Feednation,Riverside,Materials & Components,Corrugate,No Impact,Folding - Wrong Crease,268287,1758
28/10/2019,Eamia,Chatham,Mechanicals,Raw Materials,No Impact,Matts,99389,908
02/10/2019,Geba,Florence,Mechanicals,Raw Materials,No Impact,Not Certified,79029,3545
04/08/2018,Skyndu,Clay,Goods & Services,Corrugate,Impact,Shallow Slots,991670,320
09/04/2018,Yotz,Charlevoix,Materials & Components,Film,No Impact,No Print,319841,1812
13/05/2018,Topiclounge,Clay,Packaging,Corrugate,No Impact,Delamination,63675,2665
25/11/2018,Wordpedia,Westside,Packaging,Corrugate,Impact,Gap Variation,809954,2008
01/02/2018,Kwideo,Riverside,Mechanicals,Composites,Impact,Foreign objects found,720605,4779
04/06/2019,Zoombox,Chatham,Packaging,Corrugate,Impact,Skewed,747846,1053
07/10/2019,Flashset,Clarksville,Electrical,Carton,Rejected,Printing Defects,491230,2148
18/12/2018,Zoomlounge,Jordan Valley,Goods & Services,Raw Materials,No Impact,Incorrect Labeling,889954,2494
22/03/2019,Ainyx,Frazer,Logistics,Carton,Rejected,Dirty Material,923154,3902
22/09/2018,Devbug,Barling,Packaging,Labels,Impact,Too Much Chemicals,439479,1028
05/11/2019,Gevee,Prescott,Logistics,Corrugate,Impact,Weak Walls,724104,2605
01/10/2019,Wordware,Barling,Materials & Components,Labels,No Impact,Wrong Shade of Color,646779,3005
22/12/2019,Chatterbridge,June Lake,Mechanicals,Raw Materials,Impact,Matts,40084,3166
20/03/2018,Yadel,De Ruyter,Mechanicals,Raw Materials,No Impact,Damaged in Transit,672306,406
20/10/2019,Abata,Jordan Valley,Logistics,Controllers,Rejected,Print Problems,83086,2613
01/11/2018,Blogpad,Frazer,Goods & Services,Corrugate,Impact,Wrong  Size,810458,2286
14/07/2018,Zoombeat,Bruce Crossing,Goods & Services,Carton,Impact,Bad Carton Packaging,404409,1377
23/04/2018,Ailane,Barling,Packaging,Corrugate,Impact,Wrong  Size,835049,4915
21/03/2018,Trilith,Frazer,Logistics,Corrugate,Impact,Bad Seams,949230,3377
25/11/2019,Janyx,Henning,Packaging,Raw Materials,No Impact,Bad Parameters,672468,4460
28/02/2018,Dynabox,Bloomingdale,Packaging,Corrugate,Impact,Wrong Horizontal Scores,352724,1867
23/12/2018,Flashspan,Barling,Packaging,Corrugate,Impact,Wrong  Size,599603,2539
13/09/2019,Eare,Bruce Crossing,Electrical,Packaging,Rejected,Does Not Run,972982,2578
20/01/2019,Jaxspan,Prescott,Logistics,Batteries,Impact,Misc,752458,799
01/09/2019,Tagchat,Jordan Valley,Logistics,Batteries,Rejected,Tubs Stuck,114455,4194
28/02/2019,Topiczoom,Westside,Goods & Services,Corrugate,No Impact,Misc,271823,1985
31/05/2019,Twitterworks,Reading,Packaging,Corrugate,Impact,Skewed,504106,1526
12/10/2019,Izio,Charlevoix,Goods & Services,Raw Materials,Rejected,Incorrect Material,399013,336
30/06/2019,Skiba,Jordan Valley,Packaging,Corrugate,Rejected,Misaligned Slots,490898,1724
13/08/2019,Jaxspan,Clay,Materials & Components,Glass,No Impact,Bad Finish,955960,1669
14/09/2018,Voomm,Jordan Valley,Logistics,Corrugate,Impact,False scores,458582,1138
08/12/2019,Yombu,De Ruyter,Goods & Services,Corrugate,Rejected,Poor Pairing,651577,3462
21/02/2018,Zooveo,Frazer,Logistics,Corrugate,No Impact,Bad Seams,950938,4538
15/02/2018,Flipopia,Savannah,Materials & Components,Glass,No Impact,Stones and Sand,790393,433
03/02/2018,Latz,Weaverville,Logistics,Corrugate,Impact,Bad Seams,647076,2114
09/10/2019,Mynte,Hingham,Mechanicals,Raw Materials,No Impact,Bad Parameters,700136,2148
03/10/2018,Centizu,Florence,Logistics,Corrugate,Impact,Bad Seams,342497,3749
10/06/2019,Yoveo,Bruce Crossing,Mechanicals,Corrugate,Impact,Print defects,693188,4070
21/11/2018,Trilia,Frazer,Logistics,Corrugate,Impact,Bad Seams,151356,1416
26/05/2018,Flipbug,Jordan Valley,Materials & Components,Film,Rejected,Misc,612237,973
09/11/2019,Bubbletube,Chesaning,Packaging,Film,Rejected,No Bar Code,120046,591
16/10/2018,Twitterbridge,Savannah,Packaging,Raw Materials,Rejected,Inclomplete,998621,2299
11/12/2018,Meejo,Florence,Packaging,Hardware,Rejected,No Fill,523164,3491
11/01/2019,Blogtag,Jordan Valley,Goods & Services,Carton,Rejected,Sealed Together Internally,364798,3531
18/09/2018,Buzzster,Frazer,Mechanicals,Raw Materials,Rejected,Out of Spec,571397,1539
26/11/2018,Bluezoom,Middletown,Mechanicals,Controllers,Rejected,Poor  Adhesion,954429,1027
27/02/2019,Zazio,June Lake,Materials & Components,Raw Materials,No Impact,Missing Codes,158018,3238
27/02/2019,Skidoo,Charlevoix,Mechanicals,Composites,No Impact,Double Labeling,929042,659
27/04/2019,Twitterwire,Riverside,Materials & Components,Glass,No Impact,Bad Distribution,948659,4374
20/08/2018,Feedspan,June Lake,Mechanicals,Carton,Impact,Bowed/Warped,701854,1095
16/12/2019,Mynte,Florence,Materials & Components,Film,Impact,Failed Tension Test,408150,3344
03/12/2019,Feedspan,Barling,Logistics,Film,No Impact,Foreign Material,330033,375
25/11/2018,Yakijo,Hingham,Mechanicals,Raw Materials,No Impact,Bad Welding,437978,1809
10/04/2019,Blogpad,Frazer,Logistics,Corrugate,Impact,Gap Variation,501233,2685
19/04/2019,Meedoo,Clay,Logistics,Carton,Impact,Bowed/Warped,150082,1079
15/04/2019,Browsebug,Riverside,Mechanicals,Film,No Impact,Splice,393501,543
08/10/2019,Eidel,New Britain,Logistics,Batteries,Rejected,Print Problems,375422,1004
22/05/2018,Oodoo,Henning,Electrical,Carton,Rejected,Bad Cut,980798,3091
16/12/2018,Edgepulse,Henning,Logistics,Corrugate,No Impact,Bad Seams,176028,695
28/05/2018,Roombo,Henning,Logistics,Molds,Impact,Wrong Parts,174524,35
03/09/2019,Muxo,Charles City,Mechanicals,Composites,Impact,Mixed Product,365469,1950
29/10/2019,Topicblab,Chatham,Mechanicals,Raw Materials,No Impact,Bad Parameters,686437,4055
26/08/2019,Voonder,Bloomingdale,Logistics,Electrolytes,Impact,No Shipment Info,761229,4757
23/12/2018,Flipstorm,Henning,Logistics,Controllers,Impact,Warped,12962,3904
16/11/2019,Blogpad,Charlevoix,Logistics,Batteries,Rejected,Tubs Stuck,500173,921
22/02/2019,Camido,Climax,Mechanicals,Raw Materials,No Impact,Inclomplete,496902,2339
22/10/2019,Latz,New Britain,Goods & Services,Raw Materials,Impact,Not Certified,98023,17
17/12/2019,Oyondu,Jordan Valley,Mechanicals,Raw Materials,Rejected,Foreign Material,287410,1133
19/03/2019,Kamba,Charlevoix,Mechanicals,Raw Materials,Impact,Foreign Material,384428,3317
03/03/2019,Oodoo,Reading,Packaging,Labels,Rejected,Misc,316309,2881
01/07/2019,Wordware,Climax,Packaging,Film,Impact,No Bar Code,371880,3067
30/10/2019,Devshare,Clay,Packaging,Hardware,Rejected,Misc,226508,913
11/12/2018,Skyba,June Lake,Packaging,Electrolytes,Impact,Split hinges,737118,2055
04/04/2018,Tanoodle,Westside,Materials & Components,Labels,Impact,Wrong Ink,2102,3445
15/02/2018,Talane,Clay,Mechanicals,Raw Materials,Rejected,Missing Codes,928620,397
15/10/2019,Gigaclub,Clay,Electrical,Carton,Rejected,Printing Defects,338871,107
08/11/2019,Dabvine,Frazer,Mechanicals,Controllers,Rejected,Wrong Print,584761,1750
07/03/2018,Blogtags,Ripton,Packaging,Corrugate,Impact,Bad Seams,103740,73
26/08/2018,Linkbridge,Waldoboro,Electrical,Pump,No Impact,Damaged Parts,15226,4916
08/07/2018,Yombu,Chesaning,Logistics,Electrolytes,Impact,Misc,982610,2945
14/02/2019,Trudoo,Jordan Valley,Logistics,Corrugate,Impact,Bad Seams,951761,1949
16/10/2019,Roombo,De Ruyter,Mechanicals,Raw Materials,No Impact,Not Certified,382685,1805
17/09/2018,Photojam,Garwood,Materials & Components,Film,No Impact,No Print,490034,775
10/09/2018,Photospace,Henning,Materials & Components,Glass,No Impact,Bad Bearings,537951,4345
12/08/2018,Brainsphere,Climax,Logistics,Corrugate,Impact,Print defects,836590,2757
21/02/2019,Realpoint,Frazer,Mechanicals,Raw Materials,Rejected,Damaged Secondary Packaging,222891,1303
05/11/2019,Twitterbridge,Chesaning,Logistics,Batteries,Impact,Tubs Stuck,566128,2891
23/06/2018,Flashdog,Clay,Goods & Services,Film,Impact,Foreign Material,640283,1347
09/04/2019,Yacero,Frazer,Goods & Services,Raw Materials,Impact,Incorrect Material,864271,1275
19/04/2019,Thoughtbeat,Riverside,Goods & Services,Raw Materials,Rejected,Wrong material,550854,3208
23/11/2019,JumpXS,Middletown,Materials & Components,Glass,No Impact,Packaging Damaged,928552,1891
07/09/2018,Twitterworks,June Lake,Logistics,Corrugate,No Impact,Gap Variation,400426,994
06/10/2019,Topicstorm,Henning,Logistics,Controllers,Rejected,Foreign objects found,474596,2005
14/09/2018,Oyope,Middletown,Logistics,Corrugate,No Impact,Bad Seams,139675,683
19/11/2018,Tagopia,New Britain,Mechanicals,Raw Materials,Rejected,Foreign Material,454458,514
15/04/2019,Eimbee,Barling,Logistics,Film,Rejected,Creases / Wrinkles,325890,4725
14/09/2019,Kaymbo,Clay,Mechanicals,Corrugate,Impact,Damaged in Transit,219585,3685
02/07/2018,Blogpad,Garwood,Logistics,Controllers,Impact,Warped,114426,3310
08/04/2019,Realbridge,Clay,Mechanicals,Raw Materials,No Impact,Matts,465028,12
11/03/2018,Wikibox,Charles City,Logistics,Electrolytes,No Impact,Bad Fit,925797,2148
05/08/2019,Babbleopia,Jordan Valley,Materials & Components,Raw Materials,Impact,Foreign Material,413626,1659
25/03/2018,Shufflebeat,Chatham,Materials & Components,Glass,No Impact,Scratched Glass,849508,3060
07/10/2019,Tagpad,Waldoboro,Logistics,Molds,Impact,Other,101162,905
16/03/2019,Tazzy,Henning,Packaging,Corrugate,Impact,Bad Seams,496679,2054
24/04/2018,Jatri,Twin Rocks,Materials & Components,Raw Materials,Rejected,Out of Spec,818942,2008
09/12/2018,Zoozzy,Chatham,Packaging,Raw Materials,No Impact,Out of Spec,696143,1996
19/04/2019,Jabberbean,Prescott,Materials & Components,Corrugate,No Impact,Delamination,778432,2199
29/06/2019,Realcube,De Ruyter,Packaging,Corrugate,Rejected,Delamination,401558,2734
03/09/2019,Yakidoo,Bruce Crossing,Mechanicals,Raw Materials,No Impact,Damaged Secondary Packaging,520871,1687
17/06/2018,Dabshots,Clay,Logistics,Composites,Impact,Tubs Stuck,473284,2997
21/03/2018,Wordpedia,Riverside,Materials & Components,Labels,No Impact,Splice,982513,2264
28/05/2019,Gabvine,Clay,Logistics,Corrugate,Impact,Poor Pairing,69493,2486
09/10/2019,Brightbean,Climax,Logistics,Controllers,Rejected,Warped,764151,1293
08/07/2018,Trilith,Garwood,Packaging,Electrolytes,Impact,Mixed Parts,988183,360
20/03/2018,Yambee,Riverside,Mechanicals,Raw Materials,Impact,Out of Spec,993057,1551
08/02/2018,Wordtune,Jordan Valley,Mechanicals,Labels,Rejected,Split Seams,945339,3179
23/04/2018,DabZ,Frazer,Mechanicals,Composites,No Impact,Bad Tiles,307352,1441
19/02/2019,Mybuzz,Weaverville,Logistics,Controllers,No Impact,Warped,717391,2588
08/01/2019,Tagpad,Frazer,Mechanicals,Raw Materials,Rejected,Foreign Material,951006,2430
14/10/2019,Midel,Savannah,Goods & Services,Raw Materials,No Impact,Not Certified,652108,4553
21/09/2019,InnoZ,Florence,Logistics,Controllers,No Impact,Warped,755505,2245
10/04/2018,Realmix,Bloomingdale,Goods & Services,Raw Materials,No Impact,Mixed Product,433966,2699
18/08/2018,Ntag,Chesaning,Mechanicals,Corrugate,Rejected,Delamination,196878,2704
03/09/2019,Zoomzone,Prescott,Logistics,Raw Materials,No Impact,Bad Parameters,361659,528
22/09/2018,Trunyx,Barling,Packaging,Carton,Impact,Sealed Together Internally,571234,1491
18/01/2019,Camimbo,Charles City,Mechanicals,Labels,Impact,No Adhesive,182314,1558
12/09/2019,Ainyx,Florence,Mechanicals,Raw Materials,Rejected,Foreign Material,940564,642
27/11/2018,Flashset,Westside,Packaging,Film,Impact,No Adhesive,29014,3017
01/05/2018,Browsecat,Hingham,Logistics,Controllers,Impact,Warped,402414,3501
16/04/2018,Oba,Jordan Valley,Logistics,Corrugate,Impact,Delamination,411543,643
29/01/2019,Layo,Florence,Materials & Components,Raw Materials,No Impact,No Shipment Info,664243,838
01/10/2019,Chatterpoint,Riverside,Electrical,Carton,Rejected,Printing Defects,487504,4336
16/09/2019,Gigazoom,Climax,Mechanicals,Raw Materials,No Impact,Not Certified,337036,4490
20/05/2018,Voomm,Chesaning,Packaging,Film,Rejected,No Bar Code,681598,3733
25/08/2019,Devshare,Clarksville,Mechanicals,Raw Materials,Rejected,Damaged in Transit,696400,3854
12/11/2018,Eidel,Chatham,Mechanicals,Film,Rejected,Damaged Rolls,665640,3604
17/01/2018,Flipstorm,Clarksville,Materials & Components,Glass,No Impact,Bad Finish,740080,2921
18/02/2019,Talane,Chesaning,Mechanicals,Raw Materials,Impact,Foreign Material,346857,4118
19/10/2019,Vinte,Cottonwood,Materials & Components,Raw Materials,No Impact,Bad Parameters,317146,2068
05/11/2019,Tekfly,Clarksville,Logistics,Carton,Impact,Bowed,243692,1684
24/09/2019,Flipbug,Westside,Logistics,Corrugate,Impact,Weak Walls,11819,4506
13/08/2018,Abatz,Twin Rocks,Logistics,Molds,Rejected,Wrong Surface,324313,2936
01/10/2019,Mymm,Reading,Packaging,Hardware,Impact,Missing Components,231420,1091
26/12/2018,Tekfly,Weaverville,Mechanicals,Carton,Impact,Torn Packaging,776946,2393
27/10/2018,Dabfeed,Weaverville,Packaging,Carton,Impact,Cartons Not Opening,619631,708
17/04/2018,Zooxo,Chatham,Packaging,Labels,Impact,Incorrect Material,515344,319
13/11/2019,Edgepulse,Bloomingdale,Mechanicals,Raw Materials,No Impact,Out of Spec,267963,751
28/10/2019,Dabtype,Clay,Goods & Services,Raw Materials,Rejected,Foreign Material,824428,892
23/01/2018,Centimia,Savannah,Materials & Components,Film,No Impact,Bad Film,58476,4923
23/04/2019,Gigabox,Reading,Logistics,Corrugate,Impact,Warping,523308,4615
18/04/2018,Feednation,Chesaning,Goods & Services,Raw Materials,No Impact,Incorrect Labeling,800916,978
11/11/2018,Bubblemix,Charlevoix,Materials & Components,Corrugate,No Impact,Wrong Horizontal Scores,258139,803
01/09/2018,Youtags,Florence,Goods & Services,Film,Impact,Slitting Erorrs,687289,2929
03/04/2018,Skipstorm,Clarksville,Logistics,Corrugate,Impact,Weak Walls,862045,3225
15/10/2018,Quimm,Clay,Materials & Components,Glass,No Impact,Bad Bearings,475083,1271
25/09/2018,Bluezoom,Charles City,Mechanicals,Carton,Rejected,Bowed/Warped,438778,2897
09/10/2019,Oyope,Henning,Mechanicals,Raw Materials,No Impact,Not Certified,253241,3916
11/08/2018,Zoomzone,Chatham,Logistics,Corrugate,No Impact,Bad Seams,521052,1881
31/12/2018,Thoughtstorm,Bloomingdale,Logistics,Molds,Impact,Damaged Secondary Packaging,681358,3985
06/03/2018,Tekfly,Henning,Materials & Components,Raw Materials,Rejected,Foreign Material,863584,4263
03/03/2019,Quimm,Savannah,Logistics,Corrugate,No Impact,Corrugate Falling Apart,111946,2510
07/03/2018,Twitterlist,Westside,Mechanicals,Controllers,Impact,Warped,232001,3422
14/01/2019,Zoombeat,Westside,Packaging,Carton,Impact,Unsealed Cartons,972945,4539
14/09/2019,Zoomzone,Reading,Mechanicals,Controllers,Rejected,Damaged,733051,195
02/04/2018,Skyvu,Weaverville,Mechanicals,Film,No Impact,Damaged Rolls,558440,1330
10/01/2019,Dabvine,June Lake,Mechanicals,Raw Materials,Rejected,Out of Spec,769358,1122
18/09/2018,Brainbox,Weaverville,Electrical,Packaging,Rejected,String Defects,868715,2558
31/12/2019,Kare,De Ruyter,Goods & Services,Carton,Rejected,Delamination,26060,3963
03/05/2019,Fadeo,Garwood,Logistics,Labels,Rejected,Loose Core,952912,3675
19/03/2019,Bubblemix,Jordan Valley,Mechanicals,Raw Materials,Impact,Not Certified,151712,784
09/02/2018,Gabvine,Twin Rocks,Mechanicals,Raw Materials,No Impact,Inclomplete,190889,2239
14/09/2019,Flipstorm,Reading,Logistics,Corrugate,Impact,Too Stiff,367054,4506
13/11/2019,Reallinks,Ripton,Mechanicals,Raw Materials,No Impact,Not Certified,94230,347
29/01/2019,Eabox,Chesaning,Materials & Components,Electrolytes,No Impact,Color Deviation,735806,3028
09/10/2019,Photobug,Jordan Valley,Logistics,Corrugate,No Impact,Wrong Shade of Color,525599,124
13/11/2019,Jabberstorm,Clarksville,Mechanicals,Raw Materials,Rejected,Contamination,270493,98
04/10/2018,Yamia,Bloomingdale,Mechanicals,Raw Materials,No Impact,Material Handling/ Shipping Requirements Error,617438,2180
10/11/2019,Chatterpoint,Garwood,Goods & Services,Raw Materials,No Impact,Not Certified,303655,3643
07/11/2019,Edgepulse,June Lake,Mechanicals,Raw Materials,No Impact,Not Certified,605817,3788
24/02/2018,Fanoodle,Garwood,Mechanicals,Controllers,Rejected,No Disk,766579,1911
12/10/2018,Dynava,Savannah,Mechanicals,Raw Materials,Impact,Incorrect Labeling,403198,974
13/03/2019,Eimbee,Hingham,Logistics,Corrugate,Impact,Weak Walls,356479,2361
04/08/2018,Tambee,De Ruyter,Materials & Components,Film,No Impact,Tension Issues,737362,3176
26/11/2019,Tavu,Clay,Logistics,Controllers,Rejected,Foreign objects found,531174,2606
22/04/2018,Vinte,Charles City,Logistics,Labels,Impact,Film Not Sealing,215701,4375
31/08/2019,Blogpad,Climax,Packaging,Corrugate,Impact,Gap Variation,588793,2370
05/10/2019,Oyoyo,Clarksville,Packaging,Electrolytes,Rejected,Incorrect Dimensions,337126,4303
23/09/2018,Feedfire,Weaverville,Electrical,Packaging,Rejected,Does Not Run,655322,3581
07/01/2019,Edgepulse,Savannah,Logistics,Corrugate,Impact,Warping,24074,1956
21/08/2018,Zooveo,Bloomingdale,Mechanicals,Raw Materials,Impact,Foreign Material,595731,2636
02/12/2018,Linkbridge,Frazer,Mechanicals,Batteries,No Impact,Cut Wires,396165,476
25/08/2019,Brightbean,Twin Rocks,Mechanicals,Raw Materials,Rejected,Wrong Consistency,249131,4909
23/04/2018,Skyndu,Savannah,Goods & Services,Corrugate,No Impact,Scrap attached,330390,2909
26/11/2019,Shufflester,Bloomingdale,Electrical,Carton,No Impact,Printing Defects,731125,2679
30/08/2019,Brightbean,Bloomingdale,Materials & Components,Raw Materials,Impact,Codes Wrong,321149,929
16/11/2019,Blogtags,Riverside,Goods & Services,Raw Materials,No Impact,Not Certified,384653,3839
24/09/2019,Youtags,Charlevoix,Mechanicals,Film,Rejected,Seams,806973,1949
02/11/2019,Yotz,Cottonwood,Mechanicals,Raw Materials,No Impact,Not Certified,132205,1372
29/01/2019,Yakitri,New Britain,Logistics,Corrugate,No Impact,Folding - Wrong Crease,991244,4305
15/09/2018,Babbleset,Barling,Logistics,Corrugate,Impact,Weak Walls,167347,3796
24/03/2019,Quatz,Bloomingdale,Logistics,Corrugate,Impact,Liner Misalignment,118269,3033
10/12/2019,Linktype,Savannah,Materials & Components,Raw Materials,Rejected,Dirty Containers,588994,4714
06/07/2019,Flashset,Middletown,Logistics,Molds,No Impact,Soft Sides,365945,606
04/11/2018,Skalith,Jordan Valley,Mechanicals,Raw Materials,Impact,Foreign Material,674797,1813
01/02/2018,Roombo,Savannah,Mechanicals,Controllers,Rejected,No Disk,198369,2896
07/10/2019,Jabberstorm,Cottonwood,Goods & Services,Raw Materials,Rejected,Incorrect Material,88839,3887
16/01/2019,Katz,Prescott,Mechanicals,Labels,Rejected,Split Seams,787385,465
03/12/2019,Oyope,Bloomingdale,Mechanicals,Carton,No Impact,Dirty,903151,3314
18/03/2018,Jetpulse,De Ruyter,Goods & Services,Labels,Impact,Tape Wrong,681867,4143
06/02/2019,Feedbug,Reading,Materials & Components,Raw Materials,No Impact,Foreign Material,143204,2052
09/10/2018,Izio,Weaverville,Packaging,Corrugate,No Impact,No Bar Code,538090,2375
13/07/2019,Aibox,Hingham,Logistics,Controllers,No Impact,Misc,159063,3817
29/10/2018,Gevee,Clarksville,Mechanicals,Controllers,No Impact,Wrong Case Labels,427214,133
26/05/2018,Leenti,Garwood,Packaging,Corrugate,Rejected,Delamination,206429,2163
11/08/2019,Jazzy,Charlevoix,Packaging,Hardware,Rejected,Wrong Shade of Color,398702,168
13/11/2019,Skipfire,Clarksville,Mechanicals,Carton,Impact,Wrong Cut,942818,3297
19/04/2018,Jaxspan,De Ruyter,Mechanicals,Raw Materials,No Impact,Misc,157432,2451
29/03/2018,Twitterbridge,Reading,Mechanicals,Controllers,No Impact,Missing Liner,771904,3919
10/09/2018,Photobean,Barling,Mechanicals,Raw Materials,Impact,Damaged Secondary Packaging,820783,216
02/04/2018,Aimbu,Clarksville,Mechanicals,Film,Rejected,No Adhesive,17263,4420
16/12/2018,Kare,Barling,Logistics,Corrugate,Impact,Warping,249523,653
27/04/2018,Thoughtstorm,Clarksville,Logistics,Corrugate,Impact,Wrong  Size,894222,4272
07/03/2018,Centidel,Riverside,Mechanicals,Labels,Rejected,Split Seams,771753,3502
22/03/2019,Fliptune,Waldoboro,Materials & Components,Raw Materials,Impact,Mixed Product,631689,2112
01/01/2018,Twitterwire,Clay,Mechanicals,Raw Materials,Impact,Out of Spec,495501,4331
26/08/2019,Bubblebox,Waldoboro,Mechanicals,Carton,Rejected,Bowed,429191,3483
01/01/2018,Eayo,Prescott,Logistics,Corrugate,Impact,Bad Seams,689744,404
22/03/2018,Trunyx,De Ruyter,Logistics,Film,Impact,Film Not Sealing,671860,1931
03/09/2019,Zooveo,Jordan Valley,Materials & Components,Corrugate,No Impact,Wrong  Size,863429,337
12/05/2019,Eire,Garwood,Materials & Components,Raw Materials,No Impact,Wrong Labeling,34324,3512
08/01/2018,Gigazoom,Weaverville,Electrical,Corrugate,No Impact,Print defects,671365,2983
30/08/2019,Kamba,Florence,Mechanicals,Raw Materials,Rejected,Wrong Labeling,813017,3068
13/02/2019,Babbleblab,Weaverville,Mechanicals,Raw Materials,Rejected,Contamination,848238,2881
24/05/2019,Avamm,Chesaning,Packaging,Corrugate,Rejected,Skewed,912743,1441
03/02/2018,Janyx,Clarksville,Logistics,Corrugate,Impact,Delamination,38991,4674
09/06/2018,Avamm,Charles City,Packaging,Labels,Rejected,No Print,624016,938
01/06/2018,Kwideo,Climax,Materials & Components,Labels,Impact,Damaged Rolls,188076,4306
06/08/2018,Dablist,Waldoboro,Mechanicals,Labels,No Impact,Split Seams,460545,2979
16/04/2018,Linktype,Frazer,Logistics,Corrugate,Impact,Gap Variation,678998,1740
20/05/2019,Jabbercube,Twin Rocks,Mechanicals,Film,Rejected,Split Seams,398089,3684
13/05/2018,Lazzy,Weaverville,Packaging,Corrugate,Impact,Wrong  Size,470549,4211
31/05/2019,Oyoloo,Twin Rocks,Mechanicals,Raw Materials,No Impact,Foreign Material,70085,3207
06/01/2019,Voonte,Weaverville,Materials & Components,Raw Materials,No Impact,Inclomplete,65022,3392
01/10/2019,Kare,Frazer,Packaging,Hardware,Rejected,Wrong Shade of Color,132552,1375
21/10/2018,Wikido,Middletown,Mechanicals,Raw Materials,No Impact,Not Cleaned,29700,1998
29/10/2019,Brainsphere,Bruce Crossing,Logistics,Batteries,Rejected,Mixed Product,313007,2179
02/10/2019,Brightbean,Clay,Goods & Services,Raw Materials,No Impact,Not Certified,675257,748
31/08/2019,Aibox,Middletown,Mechanicals,Raw Materials,No Impact,Misc,57922,4381
01/10/2018,Yata,Clarksville,Logistics,Labels,Impact,Print Off Center,679013,2236
04/04/2018,Reallinks,Garwood,Materials & Components,Raw Materials,No Impact,Inclomplete,323204,1685
19/11/2019,Oyondu,Frazer,Materials & Components,Raw Materials,No Impact,Not Certified,819110,1270
17/08/2019,Brainbox,Charles City,Mechanicals,Film,Rejected,Foreign Material,655660,3684
10/08/2018,Ainyx,Charles City,Goods & Services,Corrugate,Impact,Shallow Slots,590428,2504
02/09/2019,Gigazoom,De Ruyter,Logistics,Corrugate,Impact,Poor Pairing,182501,728
01/10/2018,Gabspot,Hingham,Mechanicals,Composites,Rejected,Bad Tiles,996168,553
13/09/2019,Photojam,Barling,Logistics,Batteries,Rejected,Tubs Stuck,358902,1461
06/04/2019,Leexo,Henning,Logistics,Controllers,No Impact,Foreign objects found,250759,4087
30/01/2019,Bluezoom,Bruce Crossing,Goods & Services,Corrugate,No Impact,Delamination,187039,1045
18/11/2018,Oyope,Chesaning,Mechanicals,Controllers,No Impact,Wrong Tails,560560,2271
